CNTYVTD,BrownR_18G_Sup Ct 6,ChengD_18G_Sup Ct 6
"0450004",169,22
"0450006",29,6
"0470001",38,125
"0470002",61,207
"0470003",86,258
"0470004",32,62
"0470005",19,25
"0470006",52,284
"0470007",24,46
"0470008",69,197
"0470009",53,139
"0490101",1193,192
"0490105",841,127
"0490109",165,10
"0490113",900,133
"0490202",430,115
"0490204",313,141
"0490212",437,47
"0490214",356,53
"0490215",156,10
"0490303",501,105
"0490306",920,98
"0490307",371,41
"0490308",310,23
"0490316",139,10
"0490318",831,106
"0490410",1202,132
"0490411",418,133
"0490417",995,124
"0510113",359,48
"0510114",663,226
"0510203",203,54
"0510204",363,59
"0510207",164,84
"0510211",484,104
"0510215",179,44
"0510301",598,164
"0510305",286,66
"0510308",222,57
"0510309",397,82
"0510406",325,230
"0510410",843,206
"0530001",797,146
"0530002",1177,393
"0530003",439,177
"0530004",1086,382
"0530005",512,187
"0530006",293,96
"0530007",339,80
"0530008",599,128
"0530009",1337,321
"0530010",686,180
"0530011",222,25
"0530012",779,217
"0530013",412,133
"0530014",276,59
"0530015",347,88
"0530016",254,58
"0530017",908,185
"0530018",477,181
"0530019",1863,487
"0530020",1416,584
"0550100",113,151
"0550101",177,210
"0550102",284,115
"0550103",663,559
"0550104",201,86
"0550105",20,37
"0550107",0,0
"0550108",26,29
"0550109",13,1
"0550110",37,26
"0550111",254,238
"0550112",0,0
"0550113",0,0
"0550114",0,0
"0550115",0,0
"0550116",0,0
"0550117",0,0
"0550118",44,36
"0550201",294,170
"0550202",397,199
"0550203",429,159
"0550204",572,181
"0550205",147,29
"0550206",258,181
"0550301",260,291
"0550302",365,388
"0550303",252,193
"0550305",155,96
"0550306",76,86
"0550307",0,0
"0550400",23,20
"0550401",114,281
"0550402",291,540
"0550404",333,376
"0550405",358,233
"0550407",2,4
"0550408",2,6
"0550409",13,5
"0550410",0,0
"0550412",50,91
"0570001",42,100
"0570002",134,191
"0570003",9,20
"0570004",119,89
"0570005",115,31
"0570006",208,64
"0570007",119,134
"0570008",59,110
"0570009",9,14
